target_b1,target_voxels,n_success,first_pass_pct,mean_attempts,mu_mean,mu_min,mu_max,b1_mean,b1_min,b1_max,voxel_count_mean,voxel_drift_mean,voxel_drift_max,elapsed_s
1,8,200,100.00,1.000,1.00,1,1,1.00,1,1,8.00,0.00,0,0.26
1,15,200,100.00,1.000,1.59,1,3,1.00,1,1,15.00,0.00,0,0.62
1,20,200,98.00,1.020,5.22,1,11,1.00,1,1,20.00,0.00,0,0.93
1,25,200,92.00,1.085,7.46,1,17,1.00,1,1,25.00,0.00,0,1.64
2,20,200,99.50,1.005,2.60,2,4,2.00,2,2,20.00,0.00,0,0.71
2,25,200,98.00,1.020,2.88,2,6,2.00,2,2,25.00,0.00,0,-0.80
2,30,200,95.00,1.050,3.26,2,6,2.00,2,2,30.00,0.00,0,2.45
3,22,200,99.00,1.010,3.44,3,5,3.00,3,3,22.00,0.00,0,1.00
3,25,200,96.00,1.040,3.35,3,6,3.00,3,3,25.00,0.00,0,1.18
3,30,200,95.00,1.055,3.37,3,6,3.00,3,3,30.00,0.00,0,1.86
4,28,200,99.00,1.010,4.24,4,7,4.00,4,4,28.00,0.00,0,1.21
4,30,200,97.00,1.030,4.19,4,7,4.00,4,4,30.00,0.00,0,1.42
4,35,200,92.50,1.080,4.32,4,7,4.00,4,4,35.00,0.00,0,2.48
